group,id,target,prediction,abs_error,formula,elements,n_atoms,spacegroup
WORST,mp-23157,0.41,-15.247546,15.657546,Bi,Bi,2,C2/m
WORST,mp-1039368,0.32,-14.776256,15.096256,CaMg,"Ca,Mg",2,R-3m
WORST,mp-1039154,0.5,-13.779679,14.279679,MgBi,"Bi,Mg",2,Pm-3m
WORST,mp-2767,0.24,6.7252536,6.4852536,TiGa,"Ga,Ti",4,P4/mmm
WORST,mp-2297,0.34,-6.1283712,6.4683712,NdC2,"C,Nd",3,I4/mmm
WORST,mp-1014307,0.26,-3.116769,3.3767690000000004,ZrC,"C,Zr",4,P6_3/mmc
WORST,mp-569423,0.43,3.704,3.274,Ga,Ga,6,I-43d
WORST,mp-46,0.32,3.4445999,3.1245999,Ti,Ti,2,P6_3/mmc
WORST,mp-1008601,0.43,-2.6179068,3.0479068000000002,ZrAg2,"Ag,Zr",3,I4/mmm
WORST,mp-45,0.31,3.0649052,2.7549052,Ca,Ca,1,Fm-3m
WORST,mp-4124,0.35,-2.3237245,2.6737245,CaCN2,"C,Ca,N",4,R-3m
WORST,mp-1039447,0.33,-2.3024156,2.6324156,CaZn,"Ca,Zn",2,Fm-3m
WORST,mp-166,0.5,3.1036592,2.6036592,Ca,Ca,1,I4/mmm
WORST,mp-570259,0.26,-2.3195493,2.5795493,MgCl2,"Cl,Mg",3,P-3m1
WORST,mp-1129,0.3,-2.245941,2.545941,ScIr,"Ir,Sc",2,Pm-3m
WORST,mp-132,0.27,-2.2519603,2.5219603,Ca,Ca,4,Cmcm
WORST,mp-1885,0.28,-2.1215448,2.4015448,AlIr,"Al,Ir",2,Pm-3m
WORST,mp-554355,0.21,-2.1896224,2.3996224,CaF2,"Ca,F",3,P4/mmm
WORST,mp-962078,0.31,-2.0087297,2.3187297,CaCdSi,"Ca,Cd,Si",3,F-43m
WORST,mp-2741,0.28,-1.8937786,2.1737786000000003,CaF2,"Ca,F",3,Fm-3m
WORST,mp-2630,0.42,2.5690029,2.1490029,SrC2,"C,Sr",3,I4/mmm
