ids,target,prediction
mp-10014,0.06,0.00913693
mp-1008733,0.36,0.3386665
mp-1009787,0.44,-0.11960174
mp-1014111,0.25,0.26384157
mp-1018647,0.25,0.39373934
mp-1029267,0.2,0.26210344
mp-10366,0.29,0.20235004
mp-10601,0.18,0.24966179
mp-12120,0.25,0.09934364
mp-2537,1.91,-0.0095115155
mp-2540,0.29,0.25348288
mp-31119,0.29,0.17939024
mp-4595,0.42,0.27970928
mp-4697,0.3,0.2891745
mp-542488,0.24,-0.08516045
mp-567279,0.27,-0.21354647
mp-6174,0.32,0.27314794
mp-700,0.22,0.16896625
mp-739,0.23,0.7590743
mp-753257,0.23,0.075486585
mp-7899,0.31,0.09213053
mp-81,0.45,0.16379543
mp-8414,0.33,0.1924413
mp-862289,0.38,0.5661134
mp-867346,0.38,0.4326347
mp-962064,0.39,0.019157276
mp-973229,0.35,-0.07802074
mp-973614,0.44,0.13224874
mp-980945,0.47,1.0828394
mp-1018674,0.19,0.405865
mp-1025385,0.36,0.51506066
mp-1029655,0.27,0.66677266
mp-1029932,0.26,0.5448809
mp-137,0.18,0.55836445
mp-14827,0.19,0.29352742
mp-15783,0.24,0.1963142
mp-20956,0.27,0.18357779
mp-29241,0.2,-0.027645126
mp-30177,0.23,0.22111572
mp-31081,0.2,-0.007515773
mp-3532,0.34,0.26513612
mp-36052,0.32,0.21654217
mp-4117,0.24,0.14448257
mp-568006,0.2,0.19214313
mp-568319,0.34,0.14585762
mp-568466,0.14,0.3488
mp-568587,0.32,0.22923334
mp-5920,0.17,0.13622461
mp-608366,0.27,0.3355326
mp-755450,0.3,0.2040203
mp-7906,0.26,0.42024797
mp-861932,0.43,0.5301241
mp-861991,0.33,0.3156073
mp-863679,0.31,0.18959998
mp-865857,0.33,0.4858908
mp-866064,0.24,0.4289915
mp-867253,0.34,0.47609335
mp-9350,0.31,0.23162512
mp-972119,-0.05,0.22741966
mp-972874,0.45,0.15047042
mp-974949,0.35,0.17176817
mp-976943,0.35,0.06155266
mp-996979,0.32,0.29434156
mp-1014231,0.27,0.7305742
mp-1017507,0.41,0.37952775
mp-1018136,0.3,0.05212514
mp-1018165,0.44,-0.06613071
mp-1018949,0.25,-0.12482558
mp-1029656,0.22,0.2702942
mp-10748,0.24,0.18472062
mp-12781,0.25,0.3006751
mp-1797,0.37,0.5703119
mp-19443,0.28,0.10418327
