id,target,prediction,abs_error
mp-23157,0.41,-15.247546,15.657546
mp-1039368,0.32,-14.776256,15.096256
mp-1039154,0.5,-13.779679,14.279679
mp-2767,0.24,6.7252536,6.4852536
mp-2297,0.34,-6.1283712,6.4683712
mp-1014307,0.26,-3.116769,3.3767690000000004
mp-569423,0.43,3.704,3.274
mp-46,0.32,3.4445999,3.1245999
mp-1008601,0.43,-2.6179068,3.0479068000000002
mp-45,0.31,3.0649052,2.7549052
mp-4124,0.35,-2.3237245,2.6737245
mp-1039447,0.33,-2.3024156,2.6324156
mp-166,0.5,3.1036592,2.6036592
mp-570259,0.26,-2.3195493,2.5795493
mp-1129,0.3,-2.245941,2.545941
mp-132,0.27,-2.2519603,2.5219603
mp-1885,0.28,-2.1215448,2.4015448
mp-554355,0.21,-2.1896224,2.3996224
mp-962078,0.31,-2.0087297,2.3187297
mp-2741,0.28,-1.8937786,2.1737786000000003
mp-2630,0.42,2.5690029,2.1490029
mp-30835,0.34,2.3688443,2.0288443000000003
mp-12892,0.01,-1.8162634,1.8262634
mp-309,0.29,-1.478449,1.768449
mp-1073,0.29,-1.4585155,1.7485155000000001
mp-1377,0.25,1.9156483,1.6656483
mp-10721,0.26,-1.3479979,1.6079979
mp-1252,0.19,1.7758938,1.5858938
mp-2534,0.23,1.7948779,1.5648779
mp-22040,0.25,-1.3020455,1.5520455
mp-568306,0.35,-1.199928,1.549928
mp-603640,0.3,1.7741244,1.4741244
mp-5615,0.23,-1.1257484,1.3557484
mp-2120,0.32,1.651693,1.331693
mp-568398,0.3,-1.017482,1.317482
mp-571386,0.48,-0.8137428,1.2937428
mp-540912,0.23,-1.045187,1.275187
mp-14622,0.49,-0.77914625,1.26914625
mp-11563,0.02,1.2804832,1.2604832
mp-2143,0.78,-0.4253861,1.2053861000000001
mp-28069,0.25,-0.9549449,1.2049449
mp-28753,0.22,1.4175692,1.1975692
mp-1128,0.32,-0.8250751,1.1450751
mp-10622,0.23,1.3727523,1.1427523
mp-1025,0.37,1.4928004,1.1228004
mp-634965,0.28,-0.83830136,1.11830136
mp-27666,0.43,-0.6454958,1.0754958
mp-22879,0.28,-0.7791794,1.0591794
mp-570506,0.17,-0.8724426,1.0424426
mp-568695,0.25,-0.7871388,1.0371388000000001
mp-1018029,0.35,1.369145,1.019145
mp-21023,0.21,-0.80802,1.01802
mp-16326,0.33,-0.68588006,1.01588006
mp-30999,0.26,1.2666444,1.0066443999999999
mp-72,0.27,1.2478969,0.9778969
mp-10154,0.36,-0.60510796,0.96510796
