formula,target
S2Ta,0.06
Ge2,0.36
CRu,0.44
Ni2,0.25
H3NiYb,0.25
FeGa5Sc,0.22
CaN2Zr,0.2
Co6Nb4Si2,0.29
CGaY3,0.18
Cu4S8,0.31
ErRbSe2,0.23
Fe2N2,0.25
Co3Sn3,0.26
Nd2S4,1.91
TcV,0.29
O12Sc4Tb4,0.29
Fe2SiV,0.42
Cr4Se8Zn2,0.3
Co12Mg12,0.24
Cl4Zn2,0.27
Al8Mg4O36Si10,0.32
Ge4Se4,0.22
P4Ti4,0.23
Cu2F8Li2,0.23
FeO8V3,-0.06
Ba4Cd4O8,0.31
Au,0.45
BaF6Ti,0.31
F6HfK2,0.33
Ac2Hg6,0.38
InRh2Y,0.35
CdHg2Th,0.38
NaSnY,0.39
NbSc,0.35
K3Sn,0.44
NbTi3,0.47
O2Ru,0.23
Al2Dy2Zn2,0.19
AgPPt5,0.36
N6Sr6W2,0.27
Li4N8V4,0.26
Ca4OSb2,0.19
Ge12,0.18
Li56N32Nb8,0.19
KS2Sm,0.24
Au2Ti6,0.28
CaGe2Mn2,0.21
Co4Pr2,0.42
GdNi2Si2,0.27
Ca3OSn,0.2
Ba2Cd2Sb4,0.22
Al8Cr4Y,0.23
Al8Mn4Sc,0.2
AgCrSe2,0.34
S4Sc2U2,0.32
Li4O10Si4,0.24
DyFe5,0.2
B6Dy,0.34
InLiSn,0.14
CrCuSe2,0.32
Cu3Pd,0.36
AlGeLi,0.17
Cu4N24,0.27
Ce4La4O14,0.3
As4Nb2,0.21
Al2HgS4,0.26
Au2LiZn,0.43
B2Pt6,0.36
AlMn2Pa,0.33
Ca2Si4,0.24
ErRu2Ta,0.31
NbRe2Ti,0.3
NbRu2Yb,0.33
Au2MgNd,0.24
IrLiZn2,0.34
Au2Ge2Sc2,0.31
CaSrTl2,-0.05
Br3Se,0.45
IrRb3,0.35
NaRe3,0.35
Cd2V6,0.39
Ag2Ba2O4,0.32
Mn2NiSi,0.31
Hf2Zn,0.27
Au2Tm2,0.41
BiLaPt,0.3
CPt,0.44
Bi2Mn2Rb2,0.25
N8Na12W2,0.22
Cu3S4Ta,0.24
Li8S4,0.17
Al4Ni2Sc2,0.25
Cu4Ge2Zr3,0.27
PuRh3,0.38
MnNi,0.37
CoO6V2,0.44
O6W2,0.28
F6Rh2,0.24
Co8P4,0.35
CU,0.41
Ba2Nb4O12,0.33
Rh3Si2Y,0.26
Ca2Sn2Zn2,0.19
Cd14Sc2,0.33
S2Si2Zr2,0.22
Gd2O8Ta2,0.3
NbS2,0.27
Bi4,0.36
Pd2Si2Sr,0.3
In9KNi2,0.3
Si8,0.19
H2Al2O4,0.21
B4Ir4Sr2,0.31
Mn3NPt,0.31
BaCuO2,0.27
NSbSr3,0.18
Cd2P2Sr,0.24
GaLiRh2,0.31
Pm2SnZn,0.34
CdGePm2,0.36
GaNpRh2,0.37
Au2MgZr,0.37
MnRu2Si,0.29
Ru2SnTi,0.27
BeIr2Ti,0.28
Ca2InMg,0.25
ReRuTi2,0.29
Mg2PrSm,0.25
Mo3Zn,0.38
NTl,0.26
Ir2Te2,0.44
CCuN2O2Sr2,0.37
Cu4Er2,0.36
CaCl4Cs2,0.19
CuF4Tl2,0.33
Be4Ca2N4,0.26
Pd4S8,0.2
F6K2NaRh,0.35
Er2Ir4,0.3
C14Lu8,0.25
Al12Re2,0.24
NaNiO2,0.22
Cr4La4O12,0.28
Fe6O8,0.34
In3Yb,0.25
P4V8,0.29
Br6Zr2,0.2
H8Mg4,0.22
H6FeMg2,0.19
Ba2Si2,0.25
O24Y16,0.31
Cr2Sb4,0.33
GeLiPd2,0.4
Cs2I6Mg2,0.38
H2Si2,0.24
Ca2Zn2,0.32
Os4Pu2,0.45
KO2Pr,0.25
CaGe2,0.17
In3Zr,0.23
FeN,0.39
As2K2Zn2,0.21
HoP,0.22
HfMn6Sn6,0.24
I4Rh2,0.31
KO3Pu,0.29
B6Ca,0.26
AlPd2Ti,0.41
Pd2TlYb,0.43
Au2SnTh,0.42
CuIrSc2,0.35
AsCoTi,0.78
AlSc3,0.22
NaS2Sm,0.23
Pt8Sb8Si8,0.39
Ag2Ti2,0.36
As2Cu2,0.38
AuGeHo,0.33
Co4P8,0.2
Li4O8Rh4,0.34
TeY,0.35
O6Sr2WZn,0.32
CGaMn3,0.27
DyGe2Ni2,0.31
AgY,0.31
Al2CaZn2,0.25
Cu4InMg,0.39
Al2LiPd,0.3
O2Sm4,0.28
Al2MgSi2,0.28
Cs2F6Si,0.57
CNb2S2,0.22
CePt5,0.36
Br8Th2,0.31
CaHfZn,0.5
CuErSe2,0.31
O8Se2Zn2,0.28
LiPm2Pt,0.38
Hf2OsRe,0.3
AuMg2Pd,0.32
AgLu2Ru,0.34
AcHg2Mg,0.39
Ni2Tc6,0.28
CdS2Zn,0.31
NdY3,0.29
ErHoPd2,0.35
Mg2Nd4,0.3
NbTe,0.31
Al3Zn,0.5
NZn,0.76
Au2Sc,0.32
CDy2Fe2Si2,0.23
Ge,0.55
Ir2Si2Sm,0.24
Al,0.37
Li3Si3Y3,0.2
Cs2Ni3Se4,0.39
S4W2,0.2
B4Mo2,0.2
HSeY,0.2
Ga4Th6,0.45
Ba2Sn2Zn2,0.21
Ca6O18Si6,0.28
ErRu2Si2,0.28
Pb2Th2,-1.27
B18Li7O,0.21
Cu4O6Sr2,0.3
N2O8Ti6,0.32
MgPm2Tl,0.3
AgPbYb2,0.35
MgRh2Sc,0.3
Al2Ce2Si4,0.27
Hg2HoMg,0.33
Pd2PrYb,0.36
C2,0.19
CuO2Pd,0.42
Si4,0.69
FeInTi2,0.48
B2Ir3Lu,0.28
CB4Ho2,0.19
CFe3Zn,0.29
Hf4Mg4N8,0.29
CRh3Sc,0.32
B2Fe2Tb,0.25
Al3Mg3Y3,0.2
CuN,0.44
O8Ti4,0.32
AsSm,0.23
O8W2Zn2,0.33
CoO2Pd,0.39
GaNi,0.37
AlPr3,0.33
Au2Nb3,0.34
Pb3Th,0.37
In16O24,0.32
Co5Er,0.38
Br6PdSe2,0.1
InNSc3,0.19
Fe2Zr6,0.34
Ba2FeO6Re,0.25
Al22Na2O34,0.31
Dy2Li2Se4,0.23
Mn2P8,0.18
Al23B50,0.23
Cr4Nb2,0.37
In3Lu3Pt3,0.35
Au4Bi2,0.4
SiV3,0.77
Al2Si2Tm2,0.21
Pd4Se6Tl2,0.26
AgNaO2,0.3
AlLiRh2,0.31
Ca2InLi,0.47
HfLiPt2,0.44
Er4F12,0.25
PdSnV,0.39
O2Pr2Sb2Zn2,0.35
Mg3Mo,0.17
N3PTi,0.31
Ho3In3Pd3,0.34
B4Ta3,0.22
AgIn2Se4,0.3
Cu2Sn2,0.31
Ba2Cd4,0.35
Cd2Hg,0.34
Ni3Se3,0.31
Ga2Gd,0.22
InNNd3,0.19
Pt3Sn3Yb3,0.31
Cl2F2Pb2,0.2
HgY,0.32
Pd4Se8,0.24
AgLi,0.39
Si4Ti2,0.19
Ge4N4Sr6,0.25
Li5O5Sb,0.23
Au2I8Li2,0.25
Ag2ErIn,0.39
AgLi2Pb,0.36
Cd2Ti2,0.39
B2NdRh3,0.32
Li14Sn6,0.2
YZn5,0.25
Fe2P2Sr,0.24
Si5Yb3,0.18
Ni2SnTi,0.38
Pt2Si2Th,0.34
O6Sr2Ti2,0.25
HgO2Rb2,0.29
CN2Na2,0.31
Cl2N2Zr2,0.29
B8F24,0.34
Cs2O12Os4,0.24
K8P12,0.27
Ni5Sc,0.29
Cu2P2Zr8,0.32
FeScV,-0.0
BrMoPt2,0.39
Mn4N,0.66
F6InK2Na,0.46
Cu2NaO3,5.61
Cu2F6Li2,0.41
NaO2Sc,0.22
Al2O,1.39
Ca2Cu2P2,0.22
CdOsTm2,0.36
Au2InLi,0.28
Au2CdLi,0.53
NdPrTl2,0.35
Hf3Tl,0.26
MoTa2Tc,0.26
LiTbTl2,0.34
N2Re,0.33
Ba3BiP,0.29
CAlLa3,0.27
Be8Mn4,0.13
Mg3Pd3Y3,0.37
F6SnZn,0.13
Ag2As4Ce2,0.28
Be2Cl4,0.28
PdYb,0.37
Be2Hf,0.18
O8Te4,-0.54
I2Ni,0.3
Br6K2Os,0.38
Cl6Tl2W,0.36
Ge8Ni4,0.32
Ga3Ni3Ti3,0.3
Pt4Sn6,0.36
Nd2O2S,0.28
Mg4N8Si4,0.25
Ba2S6V2,0.43
Br2Zr2,0.36
F8Li2Mn2,0.28
Cl8Th2,0.32
Rh8Si10,0.29
Bi4Sn4,0.34
Al12Mo4,0.21
H4K2Pd,0.27
H22Ca4Fe3Mg4,0.21
Li4O12V6,0.54
Ni2Sb2,0.31
CdHg2Pm,0.35
HoMg2Pm,0.28
AgPm2Pt,0.38
CdPd2Zr,0.39
AgAu2Nd,0.45
HfMgRh2,0.3
Fe2SiTi,0.24
PdRuSm2,0.37
F6NbRb2,0.3
GaPtV,0.44
Sb3Zn,0.94
H8Al2Li2,0.23
AsEr3,0.36
Cs2F6LiTl,0.16
Au2Li2O4,0.29
IrLi2Sn,0.33
Al2Ge2Lu2,0.24
N2Se3Y4,0.27
Sb4Sr2,0.18
B6K,0.19
Mg3Zn3,0.39
ErGa4V2,0.26
MgSe,0.34
Ni4Sc2Si6,0.28
Al3Ho,0.19
Ba2Mo2O8,0.32
B2Cr2O6,0.25
Nb2Sb4,0.21
Cu4Sc4Si4,0.27
Cr3Ge3Nb3,0.29
PbSe,0.26
Ni4Zr2,0.31
Cl2V,0.23
Ca2Cl2F2,0.3
Al2Ge2Y2,0.22
Rh4Tm2,0.33
HoNiSb,0.2
Ag2Ge2Nd,0.25
CeIr2Si2,0.24
Ga3Lu,0.28
Cu2Fe2Se4,0.29
Pd3V,0.3
Br6Rb2Ti2,0.32
As2K4Zn,0.26
B2Fe2Ho,0.19
Ba16Li8N8,0.33
As8O40Rb8Ti8,0.26
C2CaMgO6,0.29
Al2Th,0.23
Co2EuSi2,0.17
Mg20Zn35,0.28
Pd2Tc6,0.26
CdPmRh2,0.34
Hg6Yb2,0.33
LiPd2Sc,-1.52
Mn2TiW,0.29
Fe2GaTa,0.27
LiTl2Y,0.21
Rh2ScTl,0.31
Y,0.26
Au2Rb2S2,0.32
CdY,0.31
B6V4,0.17
Cs2F6Pt,0.32
Au2GaSm,0.57
MoSi,0.28
HMo3,1.18
Au2MgPd,0.52
Mg3Os,0.35
GaSm2Zn,0.26
InSnYb2,0.62
Pd2Ta2,0.34
Al8F48Pb12,0.21
C2B2U2,0.27
Ca3Sb2,0.23
La2Pd2Sb2,0.31
Ce2CuN2O2,0.32
CaMg6Zr,0.29
Al4ErMo2,0.23
STl,0.26
Ag2P2Sr2,0.24
Cd2O2,0.4
Co4U2,0.33
Hg2Ti2,0.3
Cu2O6Si2,0.19
Ba2Ge2,0.25
KO2,0.32
EuN,0.25
Cl6K2Sn,0.28
AuCd,0.43
Na16O28P8,0.28
Li16O12Si2,0.21
Cl4O4W2,0.35
BaGa4,0.19
BHf,0.3
CoCuO2,0.44
Al2Na6P4,0.27
Cu6S6,0.36
F6NiSn,0.16
CdCl3Cs,0.31
BrCuIr,0.96
BSeSn2,-2.32
CB2Ni2Tm,0.33
O6W2,0.28
CuO6Ta2,0.25
Cl2Er2O2,0.27
FeLi3O4,0.27
LiPt2Zr,0.44
Al8Ca20N32Si8,0.25
Ag4Cs4O4,0.33
SmTl2Tm,0.35
LiLuPd2,0.45
Lu6Pr2,0.25
Li2Sb2Zn2,0.26
BiIn,0.31
AlTi2,0.54
LaNi3Rh2,0.34
FeSe4V2,0.24
Al2MnTe4,0.29
Au2O4Sc2,0.36
Ba2Hg2Sn2,0.21
PrTl,0.35
Cd2Y,0.26
ScSe2Tl,0.25
Ir3Sn3Zr3,0.32
In8Pt2Sr2,0.29
Br2Hg2,0.3
Al2Au,0.36
Cs2CuF6,0.11
P4Si2Zn2,0.24
Os2,0.23
AuBiCa,0.3
B2DyFe2,0.23
F6KRb2Ti,-0.11
H2Li2Pd,0.22
O6Sc4,0.26
Nb10Si2Sn4,0.28
I2ORb4,0.15
MgPd3,0.38
O16Zr8,0.3
B2Ca2Ni8,0.3
CGaSc3,0.17
Pm2Zn6,0.41
Au2CdPm,-1.44
Hg2NaPr,0.35
AlMgPd2,0.37
CdLi2Pd,0.38
Mn2TiV,0.31
PdRuY2,0.33
DyPaTc2,0.34
CaCdSi,0.31
KLa3,0.36
NaTm3,0.26
BeLiO3,0.48
Pa3Zn,0.36
B2Mo2Ni,0.25
HoP,-1.57
Te2TlTm,0.22
B2Be,0.35
N2Y2,0.25
Au2Hf,0.48
CaMg6Y,0.24
CoNi2Se4,0.34
Rh2Si4Sm2,0.35
PPtSm,0.32
Ga4Sc2,0.22
Se6,0.4
Cu4S6Si2,0.3
K4O12Sb4,0.23
Te4Zr12,0.33
Rh4Sc4Si4,0.29
Mn4Ni4Si4,0.28
Cl6Cs2Mg2,0.33
AsRh2,0.36
MoNiO6Sr2,0.32
As2Pd10,0.37
Si2Ta4,0.28
NNaO2,0.25
Ni2Zn2,0.31
Cu3O4V,0.47
Bi2BrO4Pr,0.29
F6NaRb2V,0.31
Ga2Th4,0.37
NdNi2P2,0.24
C4Cs8O12,0.34
Rh4Te8,0.29
Al8O12,0.3
Al2O6Y2,0.27
CaCd3O4,0.34
O2Pd2Ti6,0.38
LiMnPd2,0.36
CdHo2In,0.28
HgLiMg2,0.27
CdTlYb2,0.32
AcLiTe2,0.55
Be2IrPd,0.28
PdPm2Si,0.38
OsReTi2,0.3
Mn2SiTi,0.28
NiReTi2,0.32
Au2Si2Y2,0.3
B2K6P4,0.32
K2,0.33
Ru3Sc,0.39
Li2Mg4,0.3
CaLiO3,0.42
Si10V12,0.23
Ge3Sb,0.5
Hg2LiLu,0.1
ErIn2Sm,0.33
DyLaMg2,0.27
HoMg2Tm,0.28
DyIn2Pm,0.33
AsCl6Cs2Na,0.32
BaLiSi,0.23
CaGe2Ni2,0.28
C2Os,0.27
Be2Si,0.35
O3SnTi,0.29
LiMg6Mo,0.21
CB2Ni2U,0.31
Ge4Li8N8,0.3
BeNi,0.56
CdMg,0.26
BiMg,0.5
N2Sr,0.25
CTa,0.23
Ag2F,0.36
Mn6O8,0.33
As2FeLiO7,0.29
As2Au2Eu2,0.28
Fe4S8,0.15
Cu2InMn,0.36
InYb,0.31
As8Zr4,0.24
NaS2Sn,0.29
Be68Ru12,0.19
Ir2Mg6,0.34
Mo6Sn2,0.3
ClNaO4,0.15
Mg4N12Ta8,0.21
CCaN2,0.35
Na2Nb2O6,0.2
Ag2Ga2Se4,0.34
Mn4U2,0.38
Pt2U2,0.4
Ca4Li8,0.26
I6Nb2,0.24
LiPdW2,0.61
BBeGe,0.55
Pb4Te4,0.28
Au2CaSi2,0.33
N4O2Zr4,0.31
Ag4,0.36
Pd2Re6,0.26
Ni2Sn4Sr2,0.3
Ca2S4Sn,0.29
AgCdPd2,0.42
Au2MgSm,-0.79
Si4Zr4,0.23
Se2Sn2,-0.06
C2B2Li2,0.16
Au2Na2Te2,0.42
N2SrZr,0.21
MgThZn2,0.32
Be3N2,0.49
Sb2Se2Th2,0.3
CrSe4V2,0.23
Ca8Cr4N12,0.35
LaMg,0.25
Ho3Rh3Sn3,0.32
Cu6S4Tl2,0.35
