ID,target
mp-10014,0.06
mp-1008733,0.36
mp-1009787,0.44
mp-1014111,0.25
mp-1018647,0.25
mp-1025241,0.22
mp-1029267,0.2
mp-10366,0.29
mp-10601,0.18
mp-1068,0.31
mp-10784,0.23
mp-12120,0.25
mp-20536,0.26
mp-2537,1.91
mp-2540,0.29
mp-31119,0.29
mp-4595,0.42
mp-4697,0.3
mp-542488,0.24
mp-567279,0.27
mp-6174,0.32
mp-700,0.22
mp-739,0.23
mp-753257,0.23
mp-775001,-0.06
mp-7899,0.31
mp-81,0.45
mp-8291,0.31
mp-8414,0.33
mp-862289,0.38
mp-866163,0.35
mp-867346,0.38
mp-962064,0.39
mp-973229,0.35
mp-973614,0.44
mp-980945,0.47
mp-1008785,0.23
mp-1018674,0.19
mp-1025385,0.36
mp-1029655,0.27
mp-1029932,0.26
mp-13660,0.19
mp-137,0.18
mp-14827,0.19
mp-15783,0.24
mp-1786,0.28
mp-19824,0.21
mp-2085,0.42
mp-20956,0.27
mp-29241,0.2
mp-30040,0.22
mp-30177,0.23
mp-31081,0.2
mp-3532,0.34
mp-36052,0.32
mp-4117,0.24
mp-568006,0.2
mp-568319,0.34
mp-568466,0.14
mp-568587,0.32
mp-580357,0.36
mp-5920,0.17
mp-608366,0.27
mp-755450,0.3
mp-7598,0.21
mp-7906,0.26
mp-861932,0.43
mp-861943,0.36
mp-861991,0.33
mp-862,0.24
mp-863679,0.31
mp-865653,0.3
mp-865857,0.33
mp-866064,0.24
mp-867253,0.34
mp-9350,0.31
mp-972119,-0.05
mp-972874,0.45
mp-974949,0.35
mp-976943,0.35
mp-983607,0.39
mp-996979,0.32
mp-999558,0.31
mp-1014231,0.27
mp-1017507,0.41
mp-1018136,0.3
mp-1018165,0.44
mp-1018949,0.25
mp-1029656,0.22
mp-10748,0.24
mp-1125,0.17
mp-12781,0.25
mp-15985,0.27
mp-1678,0.38
mp-1797,0.37
mp-19311,0.44
mp-19443,0.28
mp-2068,0.24
mp-22204,0.35
mp-2489,0.41
mp-28150,0.33
mp-30028,0.26
mp-31160,0.19
mp-31502,0.33
mp-3938,0.22
mp-4875,0.3
mp-555293,0.27
mp-567597,0.36
mp-568402,0.3
mp-569886,0.3
mp-571520,0.19
mp-625054,0.21
mp-6939,0.31
mp-7070,0.31
mp-752398,0.27
mp-7752,0.18
mp-8277,0.24
mp-862730,0.31
mp-862734,0.34
mp-862994,0.36
mp-864608,0.37
mp-864920,0.37
mp-864966,0.29
mp-865888,0.27
mp-866154,0.28
mp-867350,0.25
mp-972275,0.29
mp-975880,0.25
mp-977997,0.38
mp-1002222,0.26
mp-10187,0.44
mp-1021672,0.37
mp-1024991,0.36
mp-1025185,0.19
mp-1025338,0.33
mp-11918,0.26
mp-13682,0.2
mp-14039,0.35
mp-1495,0.3
mp-15178,0.25
mp-16528,0.24
mp-19149,0.22
mp-19281,0.28
mp-19306,0.34
mp-20469,0.25
mp-20541,0.29
mp-23247,0.2
mp-23711,0.22
mp-23804,0.19
mp-2499,0.25
mp-2652,0.31
mp-2666,0.33
mp-29633,0.4
mp-29751,0.38
mp-29803,0.24
mp-30483,0.32
mp-30822,0.45
mp-4519,0.25
mp-567456,0.17
mp-570578,0.23
mp-6988,0.39
mp-7421,0.21
mp-744,0.22
mp-753669,0.24
mp-862601,0.31
mp-863708,0.29
mp-865,0.26
mp-865441,0.41
mp-865999,0.43
mp-866174,0.42
mp-867794,0.35
mp-961700,0.78
mp-978498,0.22
mp-999455,0.23
mvc-11152,0.39
mp-1017985,0.36
mp-12070,0.38
mp-13308,0.33
mp-14285,0.2
mp-14476,0.34
mp-1708,0.35
mp-19282,0.32
mp-21313,0.27
mp-21415,0.31
mp-2474,0.31
mp-30175,0.25
mp-30587,0.39
mp-30817,0.3
mp-33104,0.28
mp-3833,0.28
mp-4047,0.57
mp-4384,0.22
mp-542777,0.36
mp-570229,0.31
mp-631515,0.5
mp-675180,0.31
mp-754358,0.28
mp-862842,0.38
mp-864927,0.3
mp-864972,0.32
mp-865459,0.34
mp-866225,0.39
mp-867357,0.28
mp-971712,0.31
mp-974865,0.29
mp-976343,0.35
mp-976425,0.3
mp-982779,0.31
mp-983585,0.5
mp-999469,0.76
mp-1018148,0.32
mp-11705,0.23
mp-12093,0.55
mp-12097,0.24
mp-134,0.37
mp-14208,0.2
mp-14336,0.39
mp-224,0.2
mp-2331,0.2
mp-28797,0.2
mp-30670,0.45
mp-31148,0.21
mp-4429,0.28
mp-5022,0.28
mp-672388,-1.27
mp-675734,0.21
mp-753181,0.3
mp-755920,0.32
mp-863704,0.3
mp-865662,0.35
mp-866069,0.3
mp-9400,0.27
